nombre,precio,tipo,capacidad,rpm,tamano,bus,link,imagen
Western Digital Black 2 TB,94.990,HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/14586-western-digital-black-2-tb-wd2003fzex,https://s3.amazonaws.com/solotodo-core/media/cache/7f/fc/7ffc0ec2d851547038ab2ab9659ddd37.png
Toshiba S300 4 TB,97.990,HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/46729-toshiba-s300-4-tb-hdwt140uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/45/0b/450b7b8749ebba07e567e3ed6977d77d.png
IBM 1 TB,99.990,HDD,1 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/24381-ibm-1-tb-43w7622,https://s3.amazonaws.com/solotodo-core/media/cache/3b/8a/3b8a2a8f54c13ef681eeb7263e065325.png
Seagate Barracuda Pro 2 TB,108.890,HDD,2 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/40705-seagate-barracuda-pro-2-tb-st2000dm009,https://s3.amazonaws.com/solotodo-core/media/cache/36/70/3670e28a895a8b7522a6632d95f5a824.png
Western Digital Red 4 TB,118.990,HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/13872-western-digital-red-4-tb-wd40efrx,https://s3.amazonaws.com/solotodo-core/media/cache/2e/ab/2eabdda69fd8d1c2529d2b4e5fdda3f2.png
Seagate SkyHawk 4 TB,122.430,HDD,4 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/33617-seagate-skyhawk-4-tb-st4000vx007,https://s3.amazonaws.com/solotodo-core/media/cache/05/be/05beb1c1be07aa2818ab7e015ee02ff5.png
Toshiba X300 4 TB,127.990,HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/23044-toshiba-x300-4-tb-hdwe140xzsta,https://s3.amazonaws.com/solotodo-core/media/cache/dd/2b/dd2b8d3a3ffd6a79b1ee94105cc97adf.png
Toshiba 4 TB,128.990,HDD,4 TB,7200 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/18328-toshiba-4-tb-ph3400u-1i72,https://s3.amazonaws.com/solotodo-core/media/cache/09/59/0959a43af87785e07cc241c21f58ff52.png
Toshiba S300 5 TB,129.000,HDD,5 TB,5400 rpm,3.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/49316-toshiba-s300-5-tb-hdwt150uzsva,https://s3.amazonaws.com/solotodo-core/media/cache/34/2a/342a00772d42b73c2ea49d4b2906c5e4.png
Lenovo 300 GB,129.981,SAS,300 GB,10000 rpm,2.5"",SAS,https://www.solotodo.com/products/58290-lenovo-300-gb-7xb7a00024,https://solotodo-core.s3.amazonaws.com/media/cache/86/e4/86e4c28f2c987314e98aaac1781188f1.png
