nombre,precio,socket,chipset,memorias,formato,tipomemoria,link,imagen
ASRock B450M Pro4,84990,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/55417-asrock-b450m-pro4,https://solotodo-core.s3.amazonaws.com/media/cache/4b/9c/4b9c681206223d58a48a9f5bd3562954.png
ASRock H310CM-HDV/M.2,84990,LGA 1151-v2,Intel H310 (LGA 1151-v2),2x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/70340-asrock-h310cm-hdvm2,https://s3.amazonaws.com/solotodo-core/media/cache/70/65/70659a617a40eecfdf44e5320d4517a5.png
ASUS PRIME B360M-A,82900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/44212-asus-prime-b360m-a,https://s3.amazonaws.com/solotodo-core/media/cache/c4/f0/c4f0f64fb1a7a5075ed011f47feec9ed.png
ASUS PRIME H270M-PLUS/CSM,82900,LGA 1151,Intel H270 (LGA 1151),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/34667-asus-prime-h270m-pluscsm,https://s3.amazonaws.com/solotodo-core/media/cache/a2/d1/a2d19e29f898d7129de29a312fb2a6d0.png
ASUS PRIME H370M-PLUS/CSM,89900,LGA 1151-v2,Intel H370 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/45373-asus-prime-h370m-pluscsm,https://s3.amazonaws.com/solotodo-core/media/cache/ae/00/ae00421d28b3ee0b8ba4b80fd4088bf9.png
MSI B450M PRO-VDH MAX,89990,AM4,AMD B450 MAX (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/69113-msi-b450m-pro-vdh-max,https://s3.amazonaws.com/solotodo-core/media/cache/dc/9e/dc9e4bc2109990b97c24e894aa02e6ca.png
MSI B360M BAZOOKA,89900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/43860-msi-b360m-bazooka,https://s3.amazonaws.com/solotodo-core/media/cache/f1/e4/f1e40a5e7597faae517d4803cc7e6bae.png
ASUS PRIME B450M-A/CSM,89900,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/49379-asus-prime-b450m-acsm,https://s3.amazonaws.com/solotodo-core/media/cache/20/74/207442327907b995124b6d4ee57e7787.png
ASUS B150 Pro,89900,LGA 1151,Intel B150 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/31287-asus-b150-pro,https://s3.amazonaws.com/solotodo-core/media/cache/e9/9c/e99ca55c261b4c856e1346d6a6be378f.png
Gigabyte B365M DS3H WIFI,93890,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/73072-gigabyte-b365m-ds3h-wifi,https://s3.amazonaws.com/solotodo-core/media/cache/94/c9/94c91bdb324acebb86bc983a23660945.png
MSI B350 PC MATE,94000,AM4,AMD B350 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/35140-msi-b350-pc-mate,https://s3.amazonaws.com/solotodo-core/media/cache/28/71/2871726cbd9652c50e057e45cb60c695.png
ASRock B365 Pro4,95000,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/58123-asrock-b365-pro4,https://solotodo-core.s3.amazonaws.com/media/cache/70/0e/700e4e32cc415cb0b5b1d8f80b3748be.png
ASUS TUF B450M-PLUS GAMING,95990,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/49377-asus-tuf-b450m-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/1b/5e/1b5eda27509e1cef69209c70a7cf4634.png
ASRock B450 Pro4,96900,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/56853-asrock-b450-pro4,https://s3.amazonaws.com/solotodo-core/media/cache/14/9f/149feea255e9482d4a8374b8dc917bd7.png
Gigabyte B365 HD3,99950,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/70531-gigabyte-b365-hd3,https://s3.amazonaws.com/solotodo-core/media/cache/da/9d/da9de53ada55673ee35acc083450cbc5.png
Gigabyte B365 M AORUS ELITE,100500,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/69214-gigabyte-b365-m-aorus-elite,https://s3.amazonaws.com/solotodo-core/media/cache/8d/69/8d690789e1a96e17ae6383ea6e5fe4da.png
MSI B150A GAMING PRO,98900,LGA 1151,Intel B150 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/22857-msi-b150a-gaming-pro,https://s3.amazonaws.com/solotodo-core/media/cache/74/37/7437e551ceeab18170fceb113b5f6b51.png
ASRock B365M-ITX/ac,102486,LGA 1151-v2,Intel B365 (LGA 1151-v2),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/67234-asrock-b365m-itxac,https://s3.amazonaws.com/solotodo-core/media/cache/39/af/39af1843e0c5a432888df6a88e43b139.png
Gigabyte B450 AORUS M,104386,AM4,AMD B450 (AM4),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/50191-gigabyte-b450-aorus-m,https://s3.amazonaws.com/solotodo-core/media/cache/92/0c/920c5400602254ae80dcf269777f3bde.png
ASUS PRIME B450-PLUS,106990,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/49370-asus-prime-b450-plus,https://s3.amazonaws.com/solotodo-core/media/cache/28/ca/28caa3834725749c64ca63096cbdfca9.png
ASUS PRIME B360-PLUS,104900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/44215-asus-prime-b360-plus,https://s3.amazonaws.com/solotodo-core/media/cache/6e/ed/6eed8f2e072242286937c5ae3187bce9.png
ASUS TUF B365M-PLUS GAMING,108810,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/69858-asus-tuf-b365m-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/49/be/49be0b4a3a8257646aeace73d6e900a8.png
ASRock Fatal1ty B450 Gaming K4,110405,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/49279-asrock-fatal1ty-b450-gaming-k4,https://s3.amazonaws.com/solotodo-core/media/cache/ff/50/ff5053bbe950c0e58cedfd3ea3ad1f95.png
ASRock Z370 Pro4,109900,LGA 1151-v2,Intel Z370 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/41660-asrock-z370-pro4,https://s3.amazonaws.com/solotodo-core/media/cache/87/01/87019a801ef4428db5529bf3ef36f857.png
ASRock X370 Pro4,114990,AM4,AMD X370 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/43235-asrock-x370-pro4,https://solotodo-core.s3.amazonaws.com/media/cache/e0/fa/e0fa4ee5e2426b6bdee3ff3299d66474.png
ASUS TUF B360-PLUS GAMING,112900,LGA 1151-v2,Intel B360 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/47678-asus-tuf-b360-plus-gaming,https://s3.amazonaws.com/solotodo-core/media/cache/92/a5/92a58c2b1b16499a7967d3907f89f177.png
MSI Z270 PC MATE,112900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/33708-msi-z270-pc-mate,https://s3.amazonaws.com/solotodo-core/media/cache/82/60/8260ce906cdc0d99ba574718da83a270.png
