nombre,precio,formato,fuentepoder,ubfuente,panellateral,link,imagen
BitFenix Nova Mesh TG - White (BFC-NVM-300-WWGKW-4A),59.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/67616-bitfenix-nova-mesh-tg-white-bfc-nvm-300-wwgkw-4a,https://s3.amazonaws.com/solotodo-core/media/cache/a8/9e/a89e724b27b0de56cc0e99df41cb750f.png
Gamdias Argus E1,59.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/60871-gamdias-argus-e1,https://s3.amazonaws.com/solotodo-core/media/cache/dd/bc/ddbcb11490d80284d31ad2796c4e27ef.png
Sharkoon VG7-W RGB,59.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/63642-sharkoon-vg7-w-rgb,https://s3.amazonaws.com/solotodo-core/media/cache/a4/57/a457992b7c0de23325bbb8f5fe3224fa.png
Sharkoon VG6-W RGB,59.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/63643-sharkoon-vg6-w-rgb,https://s3.amazonaws.com/solotodo-core/media/cache/96/65/96659f9b9868445c7273d14e0a5ec6f4.png
DeepCool Matrexx 55 V3 ADD-RGB (DP-ATX-MATREXX55V3-AR),59.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/76857-deepcool-matrexx-55-v3-add-rgb-dp-atx-matrexx55v3-ar,https://s3.amazonaws.com/solotodo-core/media/cache/a3/fb/a3fbd66ffa8a61de31fb88b1a331e4ca.png
NZXT Guardian 921RB - Red (921RB-001-RD),58.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25508-nzxt-guardian-921rb-red-921rb-001-rd,https://s3.amazonaws.com/solotodo-core/media/cache/f4/d8/f4d823456091a8abbc5255e72cd40595.png
Cooler Master HAF 912 (RC-912-KKN1),59.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/5551-cooler-master-haf-912-rc-912-kkn1,https://s3.amazonaws.com/solotodo-core/media/cache/09/38/09382c35bd7c70e58dcce4048992d431.png
Aerocool Xpredator X1 - Black Edition,59.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/22399-aerocool-xpredator-x1-black-edition,https://s3.amazonaws.com/solotodo-core/media/cache/15/1d/151d7d97d0c6a1740de888cecfbf2d4e.png
Cooler Master Storm Enforcer (SGC-1000-KWN1),59.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/8668-cooler-master-storm-enforcer-sgc-1000-kwn1,https://s3.amazonaws.com/solotodo-core/media/cache/77/97/77975f6f7e47285eafc216a94382251b.png
Gamemax Abyss TR M908 TG,61.900,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65886-gamemax-abyss-tr-m908-tg,https://s3.amazonaws.com/solotodo-core/media/cache/d4/73/d4730cb33df2e3c715d8f79d858dbb08.png
be quiet! Pure Base 600 - Black (BG021),62.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/51055-be-quiet-pure-base-600-black-bg021,https://s3.amazonaws.com/solotodo-core/media/cache/e0/44/e04488465f3bad7a0f9d86a261eb84ff.png
be quiet! Pure Base 600 - Silver (BG022),62.990,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/51054-be-quiet-pure-base-600-silver-bg022,https://s3.amazonaws.com/solotodo-core/media/cache/54/2a/542a2886fa09338c3aadb99b5e38a270.png
In Win GT1 - White,63.980,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/29907-in-win-gt1-white,https://s3.amazonaws.com/solotodo-core/media/cache/f5/3a/f53a6c0e1fd3b08e5c15ed283a05d520.png
Cooler Master MasterBox MS600 - Silver (MCB-MS600-SGNN-S00),63.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/52855-cooler-master-masterbox-ms600-silver-mcb-ms600-sgnn-s00,https://s3.amazonaws.com/solotodo-core/media/cache/a5/bd/a5bd96e2d08b18711df0efc88977dea4.png
Thermaltake View 27 Gull-Wing Window (CA-1G7-00M1WN-02),62.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/40559-thermaltake-view-27-gull-wing-window-ca-1g7-00m1wn-02,https://s3.amazonaws.com/solotodo-core/media/cache/89/bc/89bc8789d6621577818792d3d8b217f2.png
EVGA DG-73 (130-P0-0020-KR),65.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/42988-evga-dg-73-130-p0-0020-kr,https://s3.amazonaws.com/solotodo-core/media/cache/4e/1f/4e1f9b1a8d3464548fd588aa5ab363ce.png
NZXT H200 - Black / Blue (CA-H200B-BL),64.900,Mini ITX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/49141-nzxt-h200-black-blue-ca-h200b-bl,https://solotodo-core.s3.amazonaws.com/media/cache/5f/f2/5ff232f89c9a02db06d3e54159e228e8.png
NZXT H200 - Black / Red (CA-H200B-BR),64.900,Mini ITX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/49140-nzxt-h200-black-red-ca-h200b-br,https://s3.amazonaws.com/solotodo-core/media/cache/bc/57/bc57a4f80bf63705bafb3eb6a80ccbd6.png
Cougar Turret (385QMY0),66.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/63645-cougar-turret-385qmy0,https://s3.amazonaws.com/solotodo-core/media/cache/2e/9d/2e9dba864d3faf9da03d2bee76a2169f.png
Thermaltake Versa H23 (con Fuente) (Window) (CA-3B1-50M1WU-01),66.990,ATX,500 W.,Inferior,Acrílico,https://www.solotodo.com/products/20260-thermaltake-versa-h23-con-fuente-window-ca-3b1-50m1wu-01,https://s3.amazonaws.com/solotodo-core/media/cache/45/e6/45e6150eb0071160929eac21cd0fd2e6.png
Thermaltake Versa C23 Tempered Glass RGB Edition (CA-1H7-00M1WN-00),67.500,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/41040-thermaltake-versa-c23-tempered-glass-rgb-edition-ca-1h7-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/4f/9e/4f9e7924ab49c655146427b79d3bb707.png
Thermaltake Core V51 (CA-1C6-00M1WN-00),65.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/38565-thermaltake-core-v51-ca-1c6-00m1wn-00,https://s3.amazonaws.com/solotodo-core/media/cache/6c/c1/6cc19d9c4e887ea98dfafab34ebdae93.png
DeepCool Matrexx 70 (DP-ATX-MATREXX70-BKG0P),68.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/62690-deepcool-matrexx-70-dp-atx-matrexx70-bkg0p,https://s3.amazonaws.com/solotodo-core/media/cache/81/69/81697c98fb60934797a48438016ae78b.png
Cooler Master MasterBox TD500 (MCB-D500D-KANN-S00),69.572,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/53233-cooler-master-masterbox-td500-mcb-d500d-kann-s00,https://s3.amazonaws.com/solotodo-core/media/cache/99/0c/990c02bbb6ead4cb393bc7ca470f3d50.png
Cooler Master MasterCase Pro 3 (MCY-C3P1-KWNN),69.900,Micro ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/37425-cooler-master-mastercase-pro-3-mcy-c3p1-kwnn,https://s3.amazonaws.com/solotodo-core/media/cache/d1/0c/d10cf30f4edacdd55beafdc217aa08ab.png
be quiet! Pure Base 600 Window - Orange (BGW20),69.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/51076-be-quiet-pure-base-600-window-orange-bgw20,https://s3.amazonaws.com/solotodo-core/media/cache/d1/0c/d10cf30f4edacdd55beafdc217aa08ab.png
be quiet! Pure Base 600 Window - Black (BGW21),69.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/51075-be-quiet-pure-base-600-window-black-bgw21,https://s3.amazonaws.com/solotodo-core/media/cache/f3/c7/f3c7bae7ba365745e21f42977d9d1d56.png
Apexgaming Hermès C1 ARGB,69.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70006-apexgaming-hermes-c1-argb,https://s3.amazonaws.com/solotodo-core/media/cache/fe/2e/fe2e9753ff2633fa2e2c858aaf3a069a.png
Apexgaming Hermès C2 ARGB,69.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/70008-apexgaming-hermes-c2-argb,https://solotodo-core.s3.amazonaws.com/media/cache/ff/cf/ffcf5a9d5030e2da0e80942332202697.png
Raidmax Cobra Z - Green (ATX-502WBG),68.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/52398-raidmax-cobra-z-green-atx-502wbg,https://s3.amazonaws.com/solotodo-core/media/cache/41/19/41196fa2436d5294a584177bff96a6ef.png
Gamemax Vision RC,68.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/65521-gamemax-vision-rc,https://s3.amazonaws.com/solotodo-core/media/cache/c3/ea/c3ea534fc119bf5d989e4f231a4fe66d.png
Gamemax M911 Rainbow,69.900,Extended ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/65523-gamemax-m911-rainbow,https://s3.amazonaws.com/solotodo-core/media/cache/bc/b7/bcb767350af73150f8471dc9e47457e2.png
Corsair Carbide Series 300R (CC-9011017-WW),69.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/7487-corsair-carbide-series-300r-cc-9011017-ww,https://s3.amazonaws.com/solotodo-core/media/cache/f9/1c/f91cd0cd5fac72a7dd6c542efe87c4a8.png
Thermaltake V200 Tempered Glass + PSU 600W (CA-3K8-60M1WU-01),71.990,ATX,600 W.,Inferior,Vidrio templado,https://www.solotodo.com/products/49904-thermaltake-v200-tempered-glass-psu-600w-ca-3k8-60m1wu-01,https://s3.amazonaws.com/solotodo-core/media/cache/7e/c8/7ec824b33c5d4dbc6f2159851831e8fc.png
