nombre,precio,capacidad,formato,bus,link,imagen
Seagate Maxtor Z1 960 GB,99990,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/68880-seagate-maxtor-z1-960-gb-ya960vc1a001,https://s3.amazonaws.com/solotodo-core/media/cache/e4/c2/e4c25fc115eab188efb468b624618322.png
Western Digital Green 1 TB,101245,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/56356-western-digital-green-1-tb-wds100t2g0a,https://s3.amazonaws.com/solotodo-core/media/cache/82/52/8252088beba08dc26801f3f437bf96c0.png
Lenovo 128 GB,106500,128 GB,2.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/76450-lenovo-128-gb-sd5sg2-128g-1052e,https://s3.amazonaws.com/solotodo-core/media/cache/0c/e5/0ce50508b3ea753f96802e534b07dcb5.png
Kingston DC500 480 GB,106993,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/59714-kingston-dc500-480-gb-sedc500r480g,https://s3.amazonaws.com/solotodo-core/media/cache/61/b6/61b6c1daf031699b5c66a7c0b53478e4.png
Micron 1100 512 GB,109990,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43107-micron-1100-512-gb-mtfddak512tbn-1ar12abyy,https://solotodo-core.s3.amazonaws.com/media/cache/76/d9/76d92432da29f431d50788c1a2058a77.png
SanDisk SSD Plus 1 TB,108900,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/59295-sandisk-ssd-plus-1-tb-sdssda-1t00-g26,https://s3.amazonaws.com/solotodo-core/media/cache/65/6a/656a96ea9c8cea25881d70b820450c06.png
Biostar S120 1 TB,108900,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/70344-biostar-s120-1-tb-s120-1tb,https://s3.amazonaws.com/solotodo-core/media/cache/bf/d0/bfd03efe8c04037e3634d00e0b96e6db.png
Crucial MX500 1 TB,118900,1 TB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/44701-crucial-mx500-1-tb-ct1000mx500ssd4,https://s3.amazonaws.com/solotodo-core/media/cache/75/48/75482d20b96dd8d4f754f3f264cba36b.png
Gigabyte Aorus RGB 512 GB,114990,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/61283-gigabyte-aorus-rgb-512-gb-gp-asm2ne2512gttdr,https://s3.amazonaws.com/solotodo-core/media/cache/c9/1a/c91a1ba250e1f896bef15b4fa86664a8.png
Kingston SSDNow A400 960 GB,113900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43025-kingston-ssdnow-a400-960-gb-sa400s37960g,https://s3.amazonaws.com/solotodo-core/media/cache/28/c3/28c346bbd492d91ce8060e2f8730c2de.png
Western Digital Blue SN550 1 TB,119990,1 TB,M.2,PCI Express 3.0,https://www.solotodo.com/products/71318-western-digital-blue-sn550-1-tb-wds100t2b0c,https://s3.amazonaws.com/solotodo-core/media/cache/ce/a1/cea13c102af8fcfb83bca3a32ef80386.png
