nombre,precio,capacidad,tipo,frecuencia,formato,voltaje,link,imagen
Crucial CT8G4SFS8266 (1 x 8GB | SO-DIMM DDR4-2666),29900,1 x 8GB,DDR4,2666 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/51673-crucial-ct8g4sfs8266-1-x-8gb-so-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/2b/3b/2b3b2e9fa403612d5ddf3eee9716889b.png
Crucial CT4G3S160BM (1 x 4GB | SO-DIMM DDR3-1600),30890,1 x 4GB,DDR3,1600 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/30202-crucial-ct4g3s160bm-1-x-4gb-so-dimm-ddr3-1600,https://solotodo-core.s3.amazonaws.com/media/cache/2b/3b/2b3b2e9fa403612d5ddf3eee9716889b.png
Patriot Signature Line PSD48G266681 (1 x 8GB | DIMM DDR4-2666),30900,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/65647-patriot-signature-line-psd48g266681-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/54/b3/54b3c7bef44c4ba51b5f519646365e83.png
Genérica MAC (2 x 2GB | SO-DIMM DDR2-800),32480,2 x 2GB,DDR2,800 MHz,SO-DIMM,1.80 V,https://www.solotodo.com/products/71120-generica-mac-2-x-2gb-so-dimm-ddr2-800,https://s3.amazonaws.com/solotodo-core/media/cache/e3/69/e36978c300b28d48d2b42f797f44ae79.png
Crucial CT4G3S1339M (1 x 4GB | SO-DIMM DDR3-1333),32832,1 x 4GB,DDR3,1333 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/34437-crucial-ct4g3s1339m-1-x-4gb-so-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/dd/b0/ddb061f5a241a2b36a1346e05d765556.png
Team Elite TED34G1600C1101 (1 x 4GB | DIMM DDR3-1600),32990,1 x 4GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/56634-team-elite-ted34g1600c1101-1-x-4gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/5f/a1/5fa1257e2801b4e5ce00f7d1794c9aae.png
A-DATA AD4U266638G19-S (1 x 8GB | DIMM DDR4-2666),32990,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/57862-a-data-ad4u266638g19-s-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/39/d4/39d4e6f290ef114751b1b3a05aca5c65.png
Crucial MAC CT8G4S266M (1 x 8GB | SO-DIMM DDR4-2666),33290,1 x 8GB,DDR4,2666 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/63362-crucial-mac-ct8g4s266m-1-x-8gb-so-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/75/05/750501faff55eed557bc61c899045ab5.png
Crucial CT2G3S1339M (1 x 2GB | SO-DIMM DDR3-1333),33730,1 x 2GB,DDR3,1333 MHz,SO-DIMM,1.35 V,https://www.solotodo.com/products/48229-crucial-ct2g3s1339m-1-x-2gb-so-dimm-ddr3-1333,https://s3.amazonaws.com/solotodo-core/media/cache/80/c1/80c12f85e4d0f990ac8365adcde5fd2c.png
Kingston KVR400X64SC3A/1G (1 x 1GB | SO-DIMM DDR-400),33900,1 x 1GB,DDR,400 MHz,SO-DIMM,2.60 V,https://www.solotodo.com/products/4001-kingston-kvr400x64sc3a1g-1-x-1gb-so-dimm-ddr-400,https://s3.amazonaws.com/solotodo-core/media/cache/ed/50/ed5034c7be8041a163faecfef5a5e178.png
A-DATA AD4S240038G17-S (1 x 8GB | SO-DIMM DDR4-2400),33990,1 x 8GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/40037-a-data-ad4s240038g17-s-1-x-8gb-so-dimm-ddr4-2400,https://solotodo-core.s3.amazonaws.com/media/cache/12/60/12609eaa67293aaf61faf30593ab6c5a.png
Corsair Vengeance CMSX8GX4M1A2400C16 (1 x 8GB | SO-DIMM DDR4-2400),34048,1 x 8GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/49774-corsair-vengeance-cmsx8gx4m1a2400c16-1-x-8gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/dd/76/dd76cac13f5e91833d4fa92062ddbd20.png
Patriot Signature Line PSD48G240081S (1 x 8GB | SO-DIMM DDR4-2400),33900,1 x 8GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/65648-patriot-signature-line-psd48g240081s-1-x-8gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/b0/08/b00822448d8f5ac0cff71544fdcb54dd.png
A-DATA AD4S266638G19-S (1 x 8GB | SO-DIMM DDR4-2666),34990,1 x 8GB,DDR4,2666 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/57863-a-data-ad4s266638g19-s-1-x-8gb-so-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/21/22/21221b8344c5357189d9af9bbc6dc275.png
Crucial CT8G4DFS8266 (1 x 8GB | DIMM DDR4-2666),35872,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/51000-crucial-ct8g4dfs8266-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/3d/1c/3d1c53f32e121aae9dd232d080a74354.png
Crucial CT8G4DFD824A (1 x 8GB | DIMM DDR4-2400),34900,1 x 8GB,DDR4,2400 MHz,DIMM,1.20 V,https://www.solotodo.com/products/34620-crucial-ct8g4dfd824a-1-x-8gb-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/dd/76/dd76cac13f5e91833d4fa92062ddbd20.png
Kingston D1G64KL110 (1 x 8GB | DIMM DDR3-1600),35872,1 x 8GB,DDR3,1600 MHz,DIMM,1.35 V,https://www.solotodo.com/products/21995-kingston-d1g64kl110-1-x-8gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/db/bf/dbbf19f4d414945ee7a99baa965e3a5d.png
Crucial Ballistix Sport LT BLS8G4S26BFSDK (1 x 8GB | SO-DIMM DDR4-2666),35990,1 x 8GB,DDR4,2666 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/55481-crucial-ballistix-sport-lt-bls8g4s26bfsdk-1-x-8gb-so-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/00/03/00037ae11a243f7150a147ccc5619210.png
Kingston KCP424SS8/8 (1 x 8GB | SO-DIMM DDR4-2400),36590,1 x 8GB,DDR4,2400 MHz,SO-DIMM,1.20 V,https://www.solotodo.com/products/38154-kingston-kcp424ss88-1-x-8gb-so-dimm-ddr4-2400,https://s3.amazonaws.com/solotodo-core/media/cache/c0/50/c050a256d76b170b4db592b33a1c781f.png
Team T-Force Vulcan Z TLZGD48G2666HC18H01 (1 x 8GB | DIMM DDR4-2666),36813,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/75909-team-t-force-vulcan-z-tlzgd48g2666hc18h01-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/37/92/37924115ffd1842437f96838d5765549.png
Kingston KCP426NS8/8 (1 x 8GB | DIMM DDR4-2666),36900,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/50838-kingston-kcp426ns88-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/fe/b1/feb1303f3ca967e70e367be02fa108c0.png
Crucial CT102464BA160B (1 x 8GB | DIMM DDR3-1600),36900,1 x 8GB,DDR3,1600 MHz,DIMM,1.50 V,https://www.solotodo.com/products/15531-crucial-ct102464ba160b-1-x-8gb-dimm-ddr3-1600,https://s3.amazonaws.com/solotodo-core/media/cache/a4/71/a471f1f0edb5b13a3a76a07fb1912917.png
Crucial Ballistix Sport LT BLS8G4D26BFSBK (1 x 8GB | DIMM DDR4-2666),36900,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/53493-crucial-ballistix-sport-lt-bls8g4d26bfsbk-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/d3/f5/d3f57891d312aa87cf57bdc576834695.png
Team T-Force Vulcan Z TLZRD48G2666HC18H01 (1 x 8GB | DIMM DDR4-2666),36936,1 x 8GB,DDR4,2666 MHz,DIMM,1.20 V,https://www.solotodo.com/products/75904-team-t-force-vulcan-z-tlzrd48g2666hc18h01-1-x-8gb-dimm-ddr4-2666,https://s3.amazonaws.com/solotodo-core/media/cache/df/06/df066b244a822d189f018efb7d86bda0.png
