nombre,precio,gpu,memoria,frecuencias,bus,link
EVGA GeForce GTX 1660 Ti SC ULTRA GAMING (06G-P4-1667-KR),319.990,NVIDIA GeForce GTX 1660 Ti,6 GB GDDR6 (192 bit),1500 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/62648-evga-geforce-gtx-1660-ti-sc-ultra-gaming-06g-p4-1667-kr
ASRock Radeon RX 5600 XT Phantom Gaming D2 6G OC (RX5600XT PGD2 6GO),325.990,AMD Radeon RX 5600 XT,6 GB GDDR6 (192 bit),1420 MHz core / 1500 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/74765-asrock-radeon-rx-5600-xt-phantom-gaming-d2-6g-oc-rx5600xt-pgd2-6go
ASRock Radeon RX 5600 XT Challenger D 6G OC (RX5600XT CLD 6GO),326.990,AMD Radeon RX 5600 XT,6 GB GDDR6 (192 bit),1420 MHz core / 1500 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/74766-asrock-radeon-rx-5600-xt-challenger-d-6g-oc-rx5600xt-cld-6go
AMD Radeon Pro WX 4100 (100-506008),329.900,AMD Radeon Pro WX 4100,4 GB GDDR5 (128 bit),925 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/72747-amd-radeon-pro-wx-4100-100-506008
MSI GeForce GTX 1660 Ti VENTUS XS 6G OC,339.990,NVIDIA GeForce GTX 1660 Ti,6 GB GDDR6 (192 bit),1500 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58219-msi-geforce-gtx-1660-ti-ventus-xs-6g-oc
MSI GeForce GTX 1660 Ti GAMING X 6G,342.990,NVIDIA GeForce GTX 1660 Ti,6 GB GDDR6 (192 bit),1500 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/57895-msi-geforce-gtx-1660-ti-gaming-x-6g
MSI Radeon RX 5600 XT MECH OC 6G,345.990,AMD Radeon RX 5600 XT,6 GB GDDR6 (192 bit),1460 MHz core / 1500 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/77516-msi-radeon-rx-5600-xt-mech-oc-6g
Zotac GAMING GeForce GTX 1660 Ti AMP 6GB GDDR6 (ZT-T16610D-10M),346.788,NVIDIA GeForce GTX 1660 Ti,6 GB GDDR6 (192 bit),1500 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/58603-zotac-gaming-geforce-gtx-1660-ti-amp-6gb-gddr6-zt-t16610d-10m
Gigabyte Radeon RX 5600 XT WINDFORCE OC 6G (GV-R56XTWF2OC-6GD),349.990,AMD Radeon RX 5600 XT,6 GB GDDR6 (192 bit),1130 MHz core / 1500 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/74688-gigabyte-radeon-rx-5600-xt-windforce-oc-6g-gv-r56xtwf2oc-6gd
Sapphire PULSE RX 5600 XT 6G GDDR6 (11296-01-20G),349.990,AMD Radeon RX 5600 XT,6 GB GDDR6 (192 bit),1130 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/74617-sapphire-pulse-rx-5600-xt-6g-gddr6-11296-01-20g
PNY Quadro P1000 (VCQP1000-BLK),366.624,NVIDIA Quadro P1000,4 GB GDDR5 (128 bit),1354 MHz core / 1752 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/64489-pny-quadro-p1000-vcqp1000-blk
ASUS ROG-STRIX-RXVEGA64-O8G-GAMING (90YV0B00-M0NA00),369.900,AMD Radeon RX Vega 64,8 GB HBM2 (2048 bit),1298 MHz core / 945 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/43434-asus-rog-strix-rxvega64-o8g-gaming-90yv0b00-m0na00
ASUS ROG-STRIX-GTX1660TI-O6G-GAMING,374.990,NVIDIA GeForce GTX 1660 Ti,6 GB GDDR6 (192 bit),1500 MHz core / 1500 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/59320-asus-rog-strix-gtx1660ti-o6g-gaming
Gigabyte GeForce RTX 2060 OC (rev. 2.0) (GV-N2060OC-6GD),379.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1755 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/57894-gigabyte-geforce-rtx-2060-oc-rev-20-gv-n2060oc-6gd
ASUS TUF-RTX2060-O6G-GAMING,379.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/59228-asus-tuf-rtx2060-o6g-gaming
Galax RTX 2060 (1-Click OC) (26NRL7HPX7OC),379.990,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/69355-galax-rtx-2060-1-click-oc-26nrl7hpx7oc
EVGA Geforce RTX 2060 KO (06G-P4-2068-KR),389.900,NVIDIA GeForce RTX 2060,6 GB GDDR6 (192 bit),1365 MHz core / 1750 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/74961-evga-geforce-rtx-2060-ko-06g-p4-2068-kr
ASRock Radeon RX 5700 Challenger D 8G OC (RX5700 CLD 8GO),389.900,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1515 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/75871-asrock-radeon-rx-5700-challenger-d-8g-oc-rx5700-cld-8go
EVGA GeForce GTX 1070 GAMING (08G-P4-6171-KR),379.900,NVIDIA GeForce GTX 1070,8 GB GDDR5 (256 bit),1506 MHz core / 2000 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/27217-evga-geforce-gtx-1070-gaming-08g-p4-6171-kr
EVGA GTX 1070 (08G-P4-6173-KR),380.900,NVIDIA GeForce GTX 1070,8 GB GDDR5 (256 bit),1594 MHz core / 2002 MHz memorias,PCI Express 3.0 x16,https://www.solotodo.com/products/26813-evga-gtx-1070-08g-p4-6173-kr
MSI Radeon RX 5700 MECH OC,392.990,AMD Radeon RX 5700,8 GB GDDR6 (256 bit),1515 MHz core / 1750 MHz memorias,PCI Express 4.0 x16,https://www.solotodo.com/products/71013-msi-radeon-rx-5700-mech-oc
