nombre,precio,capacidad,formato,bus,link
A-DATA XPG SX8200 Pro 512 GB,99.327,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/55890-a-data-xpg-sx8200-pro-512-gb-asx8200pnp-512gt-c
Transcend 512 GB,99.990,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/58236-transcend-512-gb-ts512gmte220s
Seagate Maxtor Z1 960 GB,99.990,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/68880-seagate-maxtor-z1-960-gb-ya960vc1a001
Western Digital Green 1 TB,101.245,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/56356-western-digital-green-1-tb-wds100t2g0a
Lenovo 128 GB,106.500,128 GB,2.5"",SATA 2 (3.0 Gb/s),https://www.solotodo.com/products/76450-lenovo-128-gb-sd5sg2-128g-1052e
Kingston DC500 480 GB,106.993,480 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/59714-kingston-dc500-480-gb-sedc500r480g
Micron 1100 512 GB,109.990,512 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43107-micron-1100-512-gb-mtfddak512tbn-1ar12abyy
SanDisk SSD Plus 1 TB,108.900,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/59295-sandisk-ssd-plus-1-tb-sdssda-1t00-g26
Biostar S120 1 TB,108.900,1 TB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/70344-biostar-s120-1-tb-s120-1tb
Crucial MX500 1 TB,118.900,1 TB,M.2,SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/44701-crucial-mx500-1-tb-ct1000mx500ssd4
Gigabyte Aorus RGB 512 GB,114.990,512 GB,M.2,PCI Express 3.0,https://www.solotodo.com/products/61283-gigabyte-aorus-rgb-512-gb-gp-asm2ne2512gttdr
Kingston SSDNow A400 960 GB,113.900,960 GB,2.5"",SATA 3 (6.0 Gb/s),https://www.solotodo.com/products/43025-kingston-ssdnow-a400-960-gb-sa400s37960g
