nombre,precio,socket,chipset,memorias,formato,tipomemoria,link
ASRock Fatal1ty B450 Gaming-ITX/ac,127.900,AM4,AMD B450 (AM4),2x DDR4,Mini ITX,DDR4,https://www.solotodo.com/products/49278-asrock-fatal1ty-b450-gaming-itxac
ASUS TUF B450-PLUS GAMING,124.900,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/50451-asus-tuf-b450-plus-gaming
MSI B450 TOMAHAWK,124.900,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/50189-msi-b450-tomahawk
MSI Z270 KRAIT GAMING,125.900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/32135-msi-z270-krait-gaming
ASRock Z390M Pro4,130.578,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,Micro ATX,DDR4,https://www.solotodo.com/products/52310-asrock-z390m-pro4
MSI Z390-A PRO,127.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/52308-msi-z390-a-pro
Gigabyte Z390 D,131.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/71805-gigabyte-z390-d
ASRock Z390 Phantom Gaming 4S,132.886,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/62116-asrock-z390-phantom-gaming-4s
ASRock Z390 Pro4,129.900,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/53905-asrock-z390-pro4
MSI Z270 GAMING M5,129.900,LGA 1151,Intel Z270 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/31105-msi-z270-gaming-m5
Gigabyte B450 AORUS PRO WIFI,134.990,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/49375-gigabyte-b450-aorus-pro-wifi
ASUS ROG STRIX B450-F GAMING,135.990,AM4,AMD B450 (AM4),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/49372-asus-rog-strix-b450-f-gaming
Gigabyte GA-Z170-GAMING K3,137.000,LGA 1151,Intel Z170 (LGA 1151),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/26762-gigabyte-ga-z170-gaming-k3-rev-10
ASUS ROG STRIX B365-F GAMING,134.900,LGA 1151-v2,Intel B365 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/71967-asus-rog-strix-b365-f-gaming
ASUS PRIME Z390-P,138.990,LGA 1151-v2,Intel Z390 (LGA 1151-v2),4x DDR4,ATX,DDR4,https://www.solotodo.com/products/58292-asus-prime-z390-p
