nombre,precio,formato,fuentepoder,ubfuente,panellateral,link
Corsair Carbide Series 330R Titanium Edition Silent (CC-9011071-WW),76.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/37421-corsair-carbide-series-330r-titanium-edition-silent-cc-9011071-ww
In Win 301C - White,79.990,Micro ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/49225-in-win-301c-white
BitFenix Aurora - Black (BFC-ARA-300-KKWSK-RP),79.990,Extended ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/51939-bitfenix-aurora-black-bfc-ara-300-kkwsk-rp
Fractal Design Define C (FD-CA-DEF-C-BK-W),79.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/37912-fractal-design-define-c-fd-ca-def-c-bk-w
Sharkoon Night Shark - RGB,79.990,Extended ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/55100-sharkoon-night-shark-rgb
Sharkoon Pure Steel RGB - Black,79.990,Extended ATX,No posee,Superior,Vidrio templado,https://www.solotodo.com/products/55101-sharkoon-pure-steel-rgb-black
Corsair Graphite Series 230T - Rebel Orange (CC-9011038-WW),79.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/36715-corsair-graphite-series-230t-rebel-orange-cc-9011038-ww
EVGA DG-76 Matte Black (160-B0-2230-KR),79.900,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/43843-evga-dg-76-matte-black-160-b0-2230-kr
NZXT Phantom 410 - Black (CA-PH410-B1),80.900,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/25493-nzxt-phantom-410-black-ca-ph410-b1
Riotoro CR500,83.990,ATX,No posee,Inferior,Vidrio templado,https://www.solotodo.com/products/41813-riotoro-cr500
Aerocool Mechatron - Black Steel Edition,84.900,ATX,No posee,Inferior,Aluminio (Cubierto),https://www.solotodo.com/products/19734-aerocool-mechatron-black-steel-edition
Corsair Carbide Series 270R Windowed (CC-9011105-WW),84.990,ATX,No posee,Inferior,Acrílico,https://www.solotodo.com/products/40587-corsair-carbide-series-270r-windowed-cc-9011105-ww
