Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,MZ-76E2T0B,Samsung,860 Evo 2TB,155,116,7213,https://ssd.userbenchmark.com/SpeedTest/430706/Samsung-SSD-860-EVO-2TB
SSD,PX-G256M6e,Plextor,M6e  PCIe M.2 256GB,156,116,1020,https://ssd.userbenchmark.com/SpeedTest/12059/PLEXTOR-PX-G256M6e
SSD,MZ-75E2T0B,Samsung,850 Evo 2TB,157,116,4174,https://ssd.userbenchmark.com/SpeedTest/32539/Samsung-SSD-850-EVO-2TB
SSD,PX-128M8SeGN,Plextor,M8Se NVMe PCIe M.2 128GB,158,116,161,https://ssd.userbenchmark.com/SpeedTest/345013/PLEXTOR-PX-128M8SeG
SSD,CSSD-F240GBMP300,Corsair,Force MP300 NVMe PCIe M.2 240GB,159,115,1931,https://ssd.userbenchmark.com/SpeedTest/538791/NVMe-Force-MP300
SSD,MZ-76E1T0B,Samsung,860 Evo 1TB,160,115,150368,https://ssd.userbenchmark.com/SpeedTest/423831/Samsung-SSD-860-EVO-1TB
SSD,PX-AG512M6e,Plextor,M6e PCIe 512GB,161,115,100,https://ssd.userbenchmark.com/SpeedTest/14616/PLEXTOR-PX-AG512M6e
SSD,ASX6000NP-128GT-C,Adata,XPG SX6000 NVMe PCIe M.2 128GB,162,114,4407,https://ssd.userbenchmark.com/SpeedTest/391493/ADATA-SX6000NP
SSD,MZ-76E4T0B,Samsung,860 Evo 4TB,163,114,1142,https://ssd.userbenchmark.com/SpeedTest/440150/Samsung-SSD-860-EVO-4TB
SSD,MZ-75E1T0B,Samsung,850 Evo 1TB,164,114,73020,https://ssd.userbenchmark.com/Samsung-850-Evo-1TB/Rating/3576
